Aa,Ad,Ba,Bd,s1,s2,p
0,0,2,1,1,2,0.10401101126461092
0,0,2,1,1,3,0.07734468420819192
0,0,2,1,2,0,0.03349660010035361
0,0,2,1,2,1,0.0683893054758704
0,0,2,1,2,2,0.06122252245843333
0,0,2,1,2,3,0.051307933532282884
0,0,2,1,3,0,0.013032613020897825
0,0,2,1,3,1,0.024609601133612144
0,0,2,1,3,2,0.026913074118884387
0,0,2,1,3,3,0.012603109893054888
0,0,2,2,0,0,0.08335931506285911
0,0,2,2,0,1,0.12344373937286665
0,0,2,2,0,2,0.10207564138139062
0,0,2,2,0,3,0.09428051098758097
0,0,2,2,1,0,0.06537151415634607
0,0,2,2,1,1,0.12012305868953066
0,0,2,2,1,2,0.10277019600782762
0,0,2,2,1,3,0.08808087478433031
0,0,2,2,2,0,0.026091455800865002
0,0,2,2,2,1,0.05273073692836266
0,0,2,2,2,2,0.048789171612083744
0,0,2,2,2,3,0.04600894323686806
0,0,2,2,3,0,0.007553876690844606
0,0,2,2,3,1,0.014761976696753956
0,0,2,2,3,2,0.01631361503132048
0,0,2,2,3,3,0.008245373560169479
0,0,2,3,0,0,0.09003720864291635
0,0,2,3,0,1,0.14386163090385654
0,0,2,3,0,2,0.12103353953325648
0,0,2,3,0,3,0.1203569217592028
0,0,2,3,1,0,0.056273205226891505
0,0,2,3,1,1,0.11144134019194928
0,0,2,3,1,2,0.0975832687287136
0,0,2,3,1,3,0.09639468280133022
0,0,2,3,2,0,0.019530627892088637
0,0,2,3,2,1,0.0390714743029799
0,0,2,3,2,2,0.03736422513031903
0,0,2,3,2,3,0.03964791044443892
0,0,2,3,3,0,0.004207543291498896
0,0,2,3,3,1,0.008509514188304304
0,0,2,3,3,2,0.009502927643536606
0,0,2,3,3,3,0.005183979318716878
0,0,3,0,0,0,0.0445482767753832
0,0,3,0,0,1,0.07339104237949552
0,0,3,0,0,2,0.07298566974799833
0,0,3,0,0,3,0.08110401588032501
0,0,3,0,1,0,0.05355667866664129
0,0,3,0,1,1,0.1051440586630029
0,0,3,0,1,2,0.1064666458985178
0,0,3,0,1,3,0.0962123478364041
0,0,3,0,2,0,0.02599291214374211
0,0,3,0,2,1,0.06845655438830933
0,0,3,0,2,2,0.0774510603785088
0,0,3,0,2,3,0.08320313451681122
0,0,3,0,3,0,0.013953637408223876
0,0,3,0,3,1,0.031190550645182457
0,0,3,0,3,2,0.0427892547444294
0,0,3,0,3,3,0.0235541599270247
0,0,3,1,0,0,0.051164411023669205
0,0,3,1,0,1,0.09094695259301473
0,0,3,1,0,2,0.09202173117920566
0,0,3,1,0,3,0.11009324885139127
0,0,3,1,1,0,0.04902255353231549
0,0,3,1,1,1,0.1037227126596032
0,0,3,1,1,2,0.10749566086452106
0,0,3,1,1,3,0.11196220863609875
0,0,3,1,2,0,0.020689119964205797
0,0,3,1,2,1,0.053936179345332895
0,0,3,1,2,2,0.06307090879999645
0,0,3,1,2,3,0.07624070758067285
0,0,3,1,3,0,0.008264475954286874
0,0,3,1,3,1,0.01911844113745963
0,0,3,1,3,2,0.026503981538634893
0,0,3,1,3,3,0.015746706339591098
0,0,3,2,0,0,0.05614173402151967
0,0,3,2,0,1,0.1076747867381859
0,0,3,2,0,2,0.11084700777808702
0,0,3,2,0,3,0.14277750558278857
0,0,3,2,1,0,0.04287054414309916
0,0,3,2,1,1,0.09775607790377858
0,0,3,2,1,2,0.10369291153777063
0,0,3,2,1,3,0.12447807819854735
0,0,3,2,2,0,0.01573293940932103
0,0,3,2,2,1,0.04060000581359673
0,0,3,2,2,2,0.04906949438432109
0,0,3,2,2,3,0.0667444136409252
0,0,3,2,3,0,0.004676532756638542
0,0,3,2,3,1,0.011195994794698407
0,0,3,2,3,2,0.015684413793929933
0,0,3,2,3,3,0.01005755950279215
0,0,3,3,0,0,0.05924227613005766
0,0,3,3,0,1,0.12259364548106046
0,0,3,3,0,2,0.12840608936511
0,0,3,3,0,3,0.17806844374509728
0,0,3,3,1,0,0.03605372426037423
0,0,3,3,1,1,0.08860163614882739
0,0,3,3,1,2,0.09619118489288868
0,0,3,3,1,3,0.1330890615822726
0,0,3,3,2,0,0.01150550784575751
0,0,3,3,2,1,0.02939003361390026
0,0,3,3,2,2,0.03671319217910095
0,0,3,3,2,3,0.05619154798877927
0,0,3,3,3,0,0.0025448413422843315
0,0,3,3,3,1,0.006305230504886821
0,0,3,3,3,2,0.008925931163611156
0,0,3,3,3,3,0.006177653755991361
0,1,0,0,0,0,0.11451128076507318
0,1,0,0,0,1,0.06989453216892562
0,1,0,0,0,2,0.030727276685553005
0,1,0,0,0,3,0.009305644442178193
0,1,0,0,1,0,0.1577883787302364
0,1,0,0,1,1,0.13368256339646106
0,1,0,0,1,2,0.059603227082904706
0,1,0,0,1,3,0.01470161175481208
0,1,0,0,2,0,0.10137818599204769
0,1,0,0,2,1,0.10439415458776331
0,1,0,0,2,2,0.04434453762177088
0,1,0,0,2,3,0.0116126054279513
0,1,0,0,3,0,0.05527733855575042
0,1,0,0,3,1,0.05688115337913786
0,1,0,0,3,2,0.030106783976470482
0,1,0,0,3,3,0.005790725432963806
0,1,0,1,0,0,0.14250231064474098
0,1,0,1,0,1,0.09384796550677248
0,1,0,1,0,2,0.04197719715297758
0,1,0,1,0,3,0.01368678193928717
0,1,0,1,1,0,0.15649262353656584
0,1,0,1,1,1,0.1428895466079315
0,1,0,1,1,2,0.06520542055289977
0,1,0,1,1,3,0.01853711560071796
0,1,0,1,2,0,0.0874315462899991
0,1,0,1,2,1,0.08912055638667457
0,1,0,1,2,2,0.03912716809248848
0,1,0,1,2,3,0.01152957940667237
0,1,0,1,3,0,0.03547411554006963
0,1,0,1,3,1,0.037777602681768684
0,1,0,1,3,2,0.020205859492584688
0,1,0,1,3,3,0.004194610567849178
